name,visitors,bounce_rate,visit_duration
Direct / None,8265,67,79
ad8766cbf1-EMAIL_CAMPAIGN_2022_03_14_10_52_COPY_01,55,47,30
newsletter-2023-02-10,16,62,18
newsletter-2023-02-08,4,75,3
homepage,3,67,63
extension,1,0,138
