name,visitors
Chrome,5259
Safari,1596
Firefox,463
Microsoft Edge,463
Opera,180
Mobile App,156
Samsung Browser,126
DuckDuckGo Privacy Browser,19
Yandex Browser,19
Opera GX,13
Ecosia,10
Iron,7
Notion,7
(not set),5
AdBlock Browser,3
Mobile Silk,3
MIUI Browser,3
Chromium,3
Android Browser,2
Avast Secure Browser,2
Opera Touch,1
Waterfox,1
Edge WebView,1
Whale Browser,1
